id,title,release_date,duration,discription,image,country,budget,boc,status,avg_rating,num_rating,trailer,type,taglines
449,About Time (2013) ,2013-09-4,123.0,"    At the age of 21, Tim Lake (Domhnall Gleeson) discovers he can travel in time... The night after another unsatisfactory New Year party, Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life-so he decides to make his world a better place...by getting a girlfriend. Sadly, that turns out not to be as easy as you might think. Moving from the Cornwall coast to London to train as a lawyer, Tim finally meets the beautiful but insecure Mary (Rachel McAdams). They fall in love, then an unfortunate time-travel incident means he's never met her at all. So they meet for the first time again-and again-but finally, after a lot of cunning time-traveling, he wins her heart. Tim then uses his power to create the perfect romantic proposal, to save his wedding from the worst best-man speeches, to save his best friend from professional disaster and to ...","https://m.media-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_UX45_CR0,0,45,67_AL_.jpg","UK
",174200898.0,87100449.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi802400281?playlistId=tt2194499,M,"
A new funny film about love. With a bit of time travel.                
 See more »
                
"
450,The Shawshank Redemption (1994) ,1994-10-14,142.0,"    Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg","USA
",25000000.0,58500000.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi3877612057?playlistId=tt0111161,M,"
Fear can hold you prisoner. Hope can set you free.        "
451,The Godfather (1972) ,1972-03-24,175.0,"    When the aging head of a famous crime family decides to transfer his position to one of his subalterns, a series of unfortunate events start happening to the family, and a war begins between all the well-known families leading to insolence, deportation, murder and revenge, and ends with the favorable successor being finally chosen.","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg","USA
",6000000.0,245066411.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1348706585?playlistId=tt0068646,M,"
An offer you can't refuse.        "
452,The Godfather: Part II (1974) ,1974-12-20,202.0,"    The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg","USA
",114600000.0,57300000.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi696162841?playlistId=tt0071562,M,"
All the power on earth can't change destiny.        "
453,The Dark Knight (2008) ,2008-07-18,152.0,"    Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",185000000.0,1004558444.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi324468761?playlistId=tt0468569,M,"
It's All Part of the Plan                
 See more »
                
"
454,12 Angry Men (1957) ,1957-04-10,96.0,"    The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg","USA
",8720000.0,4360000.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi3452609817?playlistId=tt0050083,M,"
Life Is In Their Hands -- Death Is On Their Minds!                
 See more »
                
"
455,Schindler's List (1993) ,1994-02-4,195.0,"    Oskar Schindler is a vainglorious and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg","USA
",22000000.0,221000000.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi1158527769?playlistId=tt0108052,M,"
The List Is Life.                
 See more »
                
"
456,Avengers: Endgame (2019) ,2019-04-26,181.0,"    The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame.","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",2447282828.0,1223641414.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi2163260441?playlistId=tt4154796,M,"
Avenge the fallen.                
 See more »
                
"
457,The Lord of the Rings: The Return of the King (2003) ,2004-02-6,201.0,"    The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","India
",94000000.0,1119929521.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167260,M,"
This Christmas the journey ends.                
 See more »
                
"
458,Pulp Fiction (1994) ,1994-10-14,154.0,"    Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","USA
",8000000.0,213928762.0,NA,0.0,0.0,https://www.imdb.com/video/imdb/vi2620371481?playlistId=tt0110912,M,"
From the creators of 'True Romance' & 'Reservoir Dogs'                
 See more »
                
"
