title1,final_genres
Socha Na Tha (2005) ,Drama
Socha Na Tha (2005) ,Comedy
Socha Na Tha (2005) ,Romance
Jaane Tu... Ya Jaane Na (2008) ,Romance
Jaane Tu... Ya Jaane Na (2008) ,Comedy
Jaane Tu... Ya Jaane Na (2008) ,Drama
Ghilli (2004) ,Romance
Ghilli (2004) ,Sport
Ghilli (2004) ,Action
Madaari (2016) ,Romance
Madaari (2016) ,Sport
Madaari (2016) ,Action
Ghajini (2005) ,Thriller
Ghajini (2005) ,Action
Ghajini (2005) ,Drama
Ghajini (2005) ,Mystery
Dum Laga Ke Haisha (2015) ,Romance
Dum Laga Ke Haisha (2015) ,Comedy
Dum Laga Ke Haisha (2015) ,Drama
Jolly LLB (2013) ,Romance
Jolly LLB (2013) ,Comedy
Jolly LLB (2013) ,Drama
October (2018) ,Romance
October (2018) ,Comedy
October (2018) ,Drama
Chillar Party (2011) ,Comedy
Chillar Party (2011) ,Family
Chillar Party (2011) ,Drama
Shaadi Mein Zaroor Aana (2017) ,Comedy
Shaadi Mein Zaroor Aana (2017) ,Family
Shaadi Mein Zaroor Aana (2017) ,Drama
Bareilly Ki Barfi (2017) ,Romance
Bareilly Ki Barfi (2017) ,Comedy
Sivaji (2007) ,Thriller
Sivaji (2007) ,Action
Sivaji (2007) ,Drama
Geetha Govindam (2018) ,Thriller
Geetha Govindam (2018) ,Action
Geetha Govindam (2018) ,Drama
Peepli (Live) (2010) ,Comedy
Peepli (Live) (2010) ,Drama
Baghban (2003) ,Romance
Baghban (2003) ,Drama
Kabhi Khushi Kabhie Gham... (2001) ,Romance
Kabhi Khushi Kabhie Gham... (2001) ,Musical
Kabhi Khushi Kabhie Gham... (2001) ,Drama
Hichki (2018) ,Romance
Hichki (2018) ,Musical
Hichki (2018) ,Drama
Badlapur (2015) ,Thriller
Badlapur (2015) ,Crime
Badlapur (2015) ,Action
Badlapur (2015) ,Drama
Chachi 420 (1997) ,Drama
Chachi 420 (1997) ,Comedy
Chachi 420 (1997) ,Romance
Chachi 420 (1997) ,Family
Karwaan (2018) ,Drama
Karwaan (2018) ,Comedy
Karwaan (2018) ,Romance
Karwaan (2018) ,Family
Guzaarish (2010) ,Drama
Dear Zindagi (2016) ,Romance
Dear Zindagi (2016) ,Drama
Mankatha (2011) ,Thriller
Mankatha (2011) ,Crime
Mankatha (2011) ,Action
Mankatha (2011) ,Comedy
Once Upon a Time in Mumbaai (2010) ,Crime
Once Upon a Time in Mumbaai (2010) ,Action
Once Upon a Time in Mumbaai (2010) ,Drama
Once Upon a Time in Mumbaai (2010) ,Romance
Yuva (2004) ,Thriller
Yuva (2004) ,Action
Yuva (2004) ,Drama
Golmaal: Fun Unlimited (2006) ,Action
Golmaal: Fun Unlimited (2006) ,Drama
Golmaal: Fun Unlimited (2006) ,Comedy
Golmaal: Fun Unlimited (2006) ,Family
Kaminey (2009) ,Thriller
Kaminey (2009) ,Crime
Kaminey (2009) ,Action
Kaminey (2009) ,Drama
Kaminey (2009) ,Comedy
Life in a Metro (2007) ,Romance
Life in a Metro (2007) ,Comedy
Life in a Metro (2007) ,Drama
Monsoon Wedding (2001) ,Romance
Monsoon Wedding (2001) ,Comedy
Monsoon Wedding (2001) ,Drama
Khiladi (1992) ,Thriller
Khiladi (1992) ,Musical
Khiladi (1992) ,Action
Khiladi (1992) ,Romance
Khiladi (1992) ,Mystery
Raid (2018) ,Thriller
Raid (2018) ,Crime
Raid (2018) ,Action
Raid (2018) ,Drama
Page 3 (2005) ,Drama
Khaleja (2010) ,Comedy
Khaleja (2010) ,Action
Khaleja (2010) ,Drama
Ghulam (1998) ,Thriller
Ghulam (1998) ,Crime
Ghulam (1998) ,Action
Ghulam (1998) ,Drama
Maine Pyar Kiya (1989) ,Musical
Maine Pyar Kiya (1989) ,Drama
Maine Pyar Kiya (1989) ,Romance
Maine Pyar Kiya (1989) ,Family
Raman Raghav 2.0 (2016) ,Thriller
Raman Raghav 2.0 (2016) ,Crime
Raman Raghav 2.0 (2016) ,Drama
Ishqiya (2010) ,Thriller
Ishqiya (2010) ,Drama
Ishqiya (2010) ,Comedy
Ishqiya (2010) ,Romance
Ghajini (2008) ,Thriller
Ghajini (2008) ,Action
Ghajini (2008) ,Drama
Ghajini (2008) ,Mystery
Bharat Ane Nenu (2018) ,Thriller
Bharat Ane Nenu (2018) ,Action
Bharat Ane Nenu (2018) ,Drama
Bharat Ane Nenu (2018) ,Mystery
Lootera (2013) ,Romance
Lootera (2013) ,Drama
Srimanthudu (2015) ,Romance
Srimanthudu (2015) ,Drama
Petta (2019) ,Romance
Petta (2019) ,Drama
Bhool Bhulaiyaa (2007) ,Thriller
Bhool Bhulaiyaa (2007) ,Comedy
Bhool Bhulaiyaa (2007) ,Mystery
Bhool Bhulaiyaa (2007) ,Horror
Holiday (2014) ,Thriller
Holiday (2014) ,Action
Parineeta (2005) ,Romance
Parineeta (2005) ,Musical
Parineeta (2005) ,Drama
Ayan (2009) ,Action
Gold (2018) ,History
Gold (2018) ,Sport
Gold (2018) ,Drama
Mardaani (2014) ,Thriller
Mardaani (2014) ,Crime
Mardaani (2014) ,Action
Mardaani (2014) ,Drama
Taxi No. 9 2 11: Nau Do Gyarah (2006) ,Thriller
Taxi No. 9 2 11: Nau Do Gyarah (2006) ,Comedy
Taxi No. 9 2 11: Nau Do Gyarah (2006) ,Drama
Saajan (1991) ,Romance
Saajan (1991) ,Musical
Saajan (1991) ,Drama
Shaitan (2011) ,Thriller
Shaitan (2011) ,Crime
Shaitan (2011) ,Action
Shaitan (2011) ,Drama
Avengers: Endgame (2019) ,Action
Avengers: Endgame (2019) ,Adventure
Avengers: Endgame (2019) ,Sci-Fi
Avengers: Endgame (2019) ,Fantasy
Avengers: Infinity War (2018) ,Adventure
Avengers: Infinity War (2018) ,Action
Avengers: Infinity War (2018) ,Sci-Fi
Captain Marvel (2019) ,Adventure
Captain Marvel (2019) ,Action
Captain Marvel (2019) ,Sci-Fi
